model_name,fixed_token,recursive_token,hierarchical_section,semantic_fixed,semantic_recursive
intfloat_e5_large_v2,0.730416727861,0.740920857751,0.740344324347,0.727654472519,0.733926791565
BAAI_bge_m3,0.722433346791,0.736566824584,0.733906822833,0.722474857576,0.740823291281
intfloat_e5_large,0.717897594243,0.723467146433,0.713937035036,0.700843218528,0.701137443310
nomic_ai_nomic_embed_text_v1,0.710866924612,0.719377172043,0.708386379921,0.700341973311,0.713671734345
intfloat_multilingual_e5_base,0.700664347998,0.708869805571,0.712007214112,0.696429698137,0.705554729184
intfloat_multilingual_e5_small,0.699298280992,0.714560466312,0.705510799744,0.693815362084,0.703934677014
BAAI_bge_large_en_v1.5,0.694335866691,0.702018328088,0.701051010395,0.689896885189,0.694870203136
intfloat_e5_small,0.685632970871,0.698705159979,0.696819601521,0.680080191611,0.684735995516
intfloat_e5_base,0.706473739292,0.714129666298,0.685191658775,0.668944711482,0.664334740114
hkunlp_instructor_xl,0.675155390805,0.685666160657,0.690250171117,0.673306095258,0.689494649300
nomic_ai_nomic_embed_text_v1.5,0.667458274568,0.679987306283,0.668533722152,0.654888840229,0.662720113684
BAAI_bge_small_en_v1.5,0.650607980895,0.663740127149,0.662872442703,0.642080236658,0.654300735084
BAAI_bge_base_en_v1.5,0.645010686132,0.651832571627,0.655118054378,0.638833567116,0.641288175557
