model_name,fixed_token,recursive_token,hierarchical_section,semantic_fixed,semantic_recursive
intfloat_e5_large_v2,0.769112769755,0.767012325846,0.774313310230,0.765467112292,0.754751190791
BAAI_bge_m3,0.748685300243,0.754503437235,0.754064160400,0.744877179675,0.756036893280
intfloat_e5_large,0.748162246441,0.748562550493,0.736288037931,0.721595363760,0.710210240070
nomic_ai_nomic_embed_text_v1,0.736099292215,0.739255624531,0.727571962077,0.726327272447,0.732877430816
intfloat_multilingual_e5_base,0.724457327660,0.737610763208,0.735332776911,0.724637893572,0.724035599470
intfloat_multilingual_e5_small,0.733219322577,0.740784327858,0.737348835694,0.727628819110,0.722995136913
BAAI_bge_large_en_v1.5,0.726050453343,0.731331966483,0.724225221047,0.718010915377,0.715472592207
intfloat_e5_small,0.718275429414,0.732806151516,0.720616763335,0.710938515485,0.704016017147
intfloat_e5_base,0.751297767999,0.741478492878,0.702437563631,0.690740864579,0.684958179380
hkunlp_instructor_xl,0.699378845405,0.714405137160,0.718049347329,0.693772915297,0.705594139431
nomic_ai_nomic_embed_text_v1.5,0.691397059294,0.704220664565,0.685225103524,0.673576561350,0.677318215464
BAAI_bge_small_en_v1.5,0.699822054025,0.698588994331,0.703371081578,0.681870774781,0.691827066470
BAAI_bge_base_en_v1.5,0.678066501827,0.670046163410,0.679022814418,0.661953113747,0.658660346840
